Policy,Frequency
Foreign & security policy,191
Budget,179
Economic & monetary affairs,128
Budgetary control,113
International trade,106
Environment & public health,100
"Civil liberties, justice & home affairs",99
Legal affairs,67
Agriculture,53
Fisheries,53
"Industry, research & energy",51
Employment & social affairs,44
Constitutional and inter-institutional affairs,40
Transport & tourism,40
Internal market & consumer protection,39
Regional development,35
Development,29
Gender equality,28
Culture & education,19
Internal regulations of the EP,7
Petitions,5
