"Domain Id","Policy area","Domain Frequency"
"AGRI","Agriculture","53"
"BUDG","Budget","179"
"CONT","Budgetary control","113"
"LIBE","Civil liberties, justice & home affairs","99"
"AFCO","Constitutional and inter-institutional affairs","40"
"CULT","Culture & education","19"
"DEVE","Development","29"
"EMPL","Economic & monetary affairs","128"
"ENVI","Employment & social affairs","44"
"FEMM","Environment & public health","100"
"PECH","Fisheries","53"
"AFET","Foreign & security policy","191"
"ECON","Gender equality","28"
"ITRE","Industry, research & energy","51"
"IMCO","Internal market & consumer protection","39"
"RIPE","Internal regulations of the EP","7"
"INTA","International trade","106"
"JURI","Legal affairs","67"
"PETI","Petitions","5"
"REGI","Regional development","35"
"TRAN","Transport & tourism","40"
