,Policy
1,Agriculture
2,Budget
3,Budgetary control
4,"Civil liberties, justice & home affairs"
5,Constitutional and inter-institutional affairs
6,Culture & education
7,Development
8,Economic & monetary affairs
9,Employment & social affairs
10,Environment & public health
11,Fisheries
12,Foreign & security policy
13,Gender equality
14,"Industry, research & energy"
15,Internal market & consumer protection
16,Internal regulations of the EP
17,International trade
18,Legal affairs
19,Petitions
20,Regional development
21,Transport & tourism
